Date,Open,High,Low,close,Adj Close,Volume,sentiment_score,intensity_score,type_token_ratio
1993-11-15,0.28125,0.292411,0.28125,0.285714,0.235288,157102400,0.0,0.46948956622254673,0.0
1993-11-16,0.285714,0.305804,0.283482,0.303571,0.249994,303083200,0.0,0.46948956622254673,0.0
1993-11-17,0.303571,0.3125,0.292411,0.299107,0.246318,302624000,0.0,0.46948956622254673,0.0
1993-11-18,0.299107,0.301339,0.294643,0.299107,0.246318,114408000,0.0,0.46948956622254673,0.0
1993-11-19,0.294643,0.299107,0.290179,0.294643,0.243513,122964800,0.0,0.46948956622254673,0.0
1993-11-22,0.292411,0.294643,0.287946,0.290179,0.239824,150606400,0.0,0.46948956622254673,0.0
1993-11-23,0.290179,0.294643,0.279018,0.294643,0.243513,186166400,0.0,0.46948956622254673,0.0
1993-11-24,0.292411,0.299107,0.291295,0.294643,0.243513,90440000,0.0,0.46948956622254673,0.0
1993-11-26,0.292411,0.294643,0.287946,0.291295,0.240746,43444800,0.0,0.46948956622254673,0.0
1993-11-29,0.287946,0.290179,0.28125,0.283482,0.234289,96712000,0.0,0.46948956622254673,0.0
1993-11-30,0.283482,0.291295,0.28125,0.28125,0.232445,112660800,0.0,0.46948956622254673,0.0
1993-12-01,0.285714,0.287946,0.279018,0.28125,0.232445,111216000,0.0,0.46948956622254673,0.0
1993-12-02,0.283482,0.285714,0.276786,0.283482,0.234289,100654400,0.0,0.46948956622254673,0.0
1993-12-03,0.283482,0.285714,0.276786,0.28125,0.232445,120467200,0.0,0.46948956622254673,0.0
1993-12-06,0.28125,0.290179,0.279018,0.287946,0.237978,156979200,0.0,0.46948956622254673,0.0
1993-12-07,0.285714,0.287946,0.28125,0.287946,0.237978,63851200,0.0,0.46948956622254673,0.0
1993-12-08,0.285714,0.287946,0.28125,0.284598,0.235212,39592000,0.0,0.46948956622254673,0.0
1993-12-09,0.283482,0.285714,0.265625,0.267857,0.221376,182761600,0.0,0.46948956622254673,0.0
1993-12-10,0.270089,0.272321,0.247768,0.252232,0.208462,497257600,0.0,0.46948956622254673,0.0
1993-12-13,0.252232,0.263393,0.247768,0.263393,0.217686,244328000,0.0,0.46948956622254673,0.0
1993-12-14,0.261161,0.265625,0.258929,0.260045,0.214919,293664000,0.0,0.46948956622254673,0.0
1993-12-15,0.258929,0.265625,0.258929,0.265625,0.219531,123883200,0.0,0.46948956622254673,0.0
1993-12-16,0.263393,0.265625,0.258929,0.262277,0.216764,126369600,0.0,0.46948956622254673,0.0
1993-12-17,0.263393,0.265625,0.260045,0.263393,0.217686,145152000,0.0,0.46948956622254673,0.0
1993-12-20,0.261161,0.265625,0.252232,0.254464,0.210307,189033600,0.0,0.46948956622254673,0.0
1993-12-21,0.254464,0.256696,0.243304,0.245536,0.202928,251126400,0.0,0.46948956622254673,0.0
1993-12-22,0.243304,0.254464,0.241071,0.25,0.206617,181372800,0.0,0.46948956622254673,0.0
1993-12-23,0.243304,0.243304,0.236607,0.243304,0.201083,226956800,0.0,0.46948956622254673,0.0
1993-12-27,0.247768,0.256696,0.243304,0.254464,0.210307,159936000,0.0,0.46948956622254673,0.0
1993-12-28,0.256696,0.263393,0.254464,0.260045,0.214919,159499200,0.0,0.46948956622254673,0.0
1993-12-29,0.261161,0.261161,0.254464,0.254464,0.210307,107352000,0.0,0.46948956622254673,0.0
1993-12-30,0.254464,0.270089,0.254464,0.265625,0.219531,314552000,0.0,0.46948956622254673,0.0
1993-12-31,0.265625,0.270089,0.261161,0.261161,0.215842,160966400,0.0,0.46948956622254673,0.0
1994-01-03,0.263393,0.267857,0.258929,0.266741,0.220453,181529600,0.0,0.46948956622254673,0.0
1994-01-04,0.270089,0.28125,0.267857,0.28125,0.232445,285174400,0.0,0.46948956622254673,0.0
1994-01-05,0.283482,0.302455,0.283482,0.301339,0.249048,612136000,0.0,0.46948956622254673,0.0
1994-01-06,0.301339,0.303571,0.290179,0.292411,0.241669,366508800,0.0,0.46948956622254673,0.0
1994-01-07,0.285714,0.296875,0.279018,0.295759,0.244436,298793600,0.0,0.46948956622254673,0.0
1994-01-10,0.294643,0.302455,0.292411,0.300223,0.248125,201588800,0.0,0.46948956622254673,0.0
1994-01-11,0.299107,0.301339,0.283482,0.284598,0.235212,355398400,0.0,0.46948956622254673,0.0
1994-01-12,0.287946,0.287946,0.272321,0.272321,0.225065,439118400,0.0,0.46948956622254673,0.0
1994-01-13,0.267857,0.274554,0.265625,0.273438,0.225988,531596800,0.0,0.46948956622254673,0.0
1994-01-14,0.274554,0.283482,0.272321,0.276786,0.228755,214513600,0.0,0.46948956622254673,0.0
1994-01-17,0.276786,0.28125,0.267857,0.271205,0.224143,145712000,0.0,0.46948956622254673,0.0
1994-01-18,0.270089,0.270089,0.258929,0.262277,0.216764,362801600,0.0,0.46948956622254673,0.0
1994-01-19,0.261161,0.265625,0.256696,0.261161,0.215842,281590400,0.0,0.46948956622254673,0.0
1994-01-20,0.263393,0.274554,0.263393,0.266741,0.220453,268083200,0.0,0.46948956622254673,0.0
1994-01-21,0.296875,0.299107,0.287946,0.297991,0.24628,980134400,0.0,0.46948956622254673,0.0
1994-01-24,0.296875,0.314732,0.296875,0.3125,0.258272,692148800,0.0,0.46948956622254673,0.0
1994-01-25,0.310268,0.3125,0.296875,0.302455,0.24997,442332800,0.0,0.46948956622254673,0.0
1994-01-26,0.301339,0.303571,0.296875,0.299107,0.247203,165804800,0.0,0.46948956622254673,0.0
1994-01-27,0.299107,0.305804,0.294643,0.304688,0.251815,132249600,0.0,0.46948956622254673,0.0
1994-01-28,0.305804,0.310268,0.301339,0.303571,0.250892,136438400,0.0,0.46948956622254673,0.0
1994-01-31,0.299107,0.301339,0.292411,0.292411,0.241669,238380800,0.0,0.46948956622254673,0.0
1994-02-01,0.294643,0.299107,0.287946,0.296875,0.245358,156721600,0.0,0.46948956622254673,0.0
1994-02-02,0.296875,0.296875,0.290179,0.294643,0.243513,146451200,0.0,0.46948956622254673,0.0
1994-02-03,0.294643,0.300223,0.290179,0.299107,0.247203,137995200,0.0,0.46948956622254673,0.0
1994-02-04,0.299107,0.3125,0.296875,0.299107,0.247203,354009600,0.0,0.46948956622254673,0.0
1994-02-07,0.299107,0.331473,0.299107,0.325893,0.270308,725446400,0.0,0.46948956622254673,0.0
1994-02-08,0.321429,0.325893,0.314732,0.319196,0.264754,285387200,0.0,0.46948956622254673,0.0
1994-02-09,0.319196,0.325893,0.314732,0.323661,0.268457,186984000,0.0,0.46948956622254673,0.0
1994-02-10,0.323661,0.334821,0.321429,0.325893,0.270308,302030400,0.0,0.46948956622254673,0.0
1994-02-11,0.323661,0.334821,0.323661,0.330357,0.274011,164248000,0.0,0.46948956622254673,0.0
1994-02-14,0.330357,0.339286,0.328125,0.330357,0.274011,245548800,0.0,0.46948956622254673,0.0
1994-02-15,0.328125,0.334821,0.323661,0.331473,0.274937,129774400,0.0,0.46948956622254673,0.0
1994-02-16,0.334821,0.334821,0.328125,0.328125,0.27216,122024000,0.0,0.46948956622254673,0.0
1994-02-17,0.332589,0.33817,0.323661,0.330357,0.274011,145152000,0.0,0.46948956622254673,0.0
1994-02-18,0.325893,0.330357,0.323661,0.323661,0.268457,149072000,0.0,0.46948956622254673,0.0
1994-02-22,0.323661,0.334821,0.319196,0.332589,0.275862,214569600,0.0,0.46948956622254673,0.0
1994-02-23,0.332589,0.341518,0.330357,0.332589,0.275862,260534400,0.0,0.46948956622254673,0.0
1994-02-24,0.330357,0.332589,0.323661,0.327009,0.271234,197859200,0.0,0.46948956622254673,0.0
1994-02-25,0.330357,0.332589,0.316964,0.321429,0.266606,236824000,0.0,0.46948956622254673,0.0
1994-02-28,0.323661,0.330357,0.321429,0.325893,0.270308,123827200,0.0,0.46948956622254673,0.0
1994-03-01,0.328125,0.328125,0.319196,0.323661,0.268457,211870400,0.0,0.46948956622254673,0.0
1994-03-02,0.314732,0.323661,0.310268,0.31808,0.263828,294145600,0.0,0.46948956622254673,0.0
1994-03-03,0.319196,0.323661,0.316964,0.319196,0.264754,188473600,0.0,0.46948956622254673,0.0
1994-03-04,0.321429,0.334821,0.319196,0.328125,0.27216,226844800,0.0,0.46948956622254673,0.0
1994-03-07,0.330357,0.340402,0.328125,0.33817,0.280492,310396800,0.0,0.46948956622254673,0.0
1994-03-08,0.339286,0.339286,0.328125,0.330357,0.274011,186054400,0.0,0.46948956622254673,0.0
1994-03-09,0.327009,0.334821,0.321429,0.334821,0.277714,248539200,0.0,0.46948956622254673,0.0
1994-03-10,0.332589,0.335938,0.328125,0.332589,0.275862,143763200,0.0,0.46948956622254673,0.0
1994-03-11,0.330357,0.337054,0.328125,0.332589,0.275862,161840000,0.0,0.46948956622254673,0.0
1994-03-14,0.34375,0.34375,0.337054,0.340402,0.282343,441705600,0.0,0.46948956622254673,0.0
1994-03-15,0.341518,0.341518,0.332589,0.335938,0.27864,204545600,0.0,0.46948956622254673,0.0
1994-03-16,0.334821,0.337054,0.325893,0.328125,0.27216,147168000,0.0,0.46948956622254673,0.0
1994-03-17,0.328125,0.330357,0.323661,0.325893,0.270308,156228800,0.0,0.46948956622254673,0.0
1994-03-18,0.328125,0.328125,0.319196,0.324777,0.269383,223675200,0.0,0.46948956622254673,0.0
1994-03-21,0.324777,0.325893,0.314732,0.316964,0.262902,246512000,0.0,0.46948956622254673,0.0
1994-03-22,0.314732,0.316964,0.308036,0.3125,0.2592,242827200,0.0,0.46948956622254673,0.0
1994-03-23,0.314732,0.316964,0.305804,0.313616,0.260125,216686400,0.0,0.46948956622254673,0.0
1994-03-24,0.313616,0.314732,0.303571,0.309152,0.256423,188092800,0.0,0.46948956622254673,0.0
1994-03-25,0.310268,0.310268,0.292411,0.292411,0.242537,343638400,0.0,0.46948956622254673,0.0
1994-03-28,0.294643,0.303571,0.292411,0.296875,0.24624,282576000,0.0,0.46948956622254673,0.0
1994-03-29,0.296875,0.301339,0.287946,0.292411,0.242537,213516800,0.0,0.46948956622254673,0.0
1994-03-30,0.290179,0.296875,0.283482,0.290179,0.240686,169825600,0.0,0.46948956622254673,0.0
1994-03-31,0.290179,0.299107,0.28125,0.296875,0.24624,209059200,0.0,0.46948956622254673,0.0
1994-04-04,0.287946,0.296875,0.283482,0.296875,0.24624,168302400,0.0,0.46948956622254673,0.0
1994-04-05,0.301339,0.305804,0.299107,0.299107,0.248091,97899200,0.0,0.46948956622254673,0.0
1994-04-06,0.303571,0.303571,0.292411,0.299107,0.248091,129091200,0.0,0.46948956622254673,0.0
1994-04-07,0.299107,0.301339,0.292411,0.297991,0.247165,77369600,0.0,0.46948956622254673,0.0
1994-04-08,0.301339,0.303571,0.296875,0.299107,0.248091,176848000,0.0,0.46948956622254673,0.0
1994-04-11,0.299107,0.299107,0.290179,0.299107,0.248091,106825600,0.0,0.46948956622254673,0.0
1994-04-12,0.297991,0.297991,0.283482,0.285714,0.236982,136830400,0.0,0.46948956622254673,0.0
1994-04-13,0.287946,0.290179,0.279018,0.283482,0.235131,233139200,0.0,0.46948956622254673,0.0
1994-04-14,0.272321,0.283482,0.267857,0.28125,0.23328,221995200,0.0,0.46948956622254673,0.0
1994-04-15,0.279018,0.28125,0.267857,0.270089,0.224022,188350400,0.0,0.46948956622254673,0.0
